Na,Mg,Al,Si,P,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo
-1.29212294,-2.248060533,0.354621452,1.273708449,0.123012866,0.341533805,0.064251193,0.296102829,-20.95661366,0.004952093,-100.7592163,-11.09038776,145.0002169,1.779078624,10.45876718,2.406219446,23.05683622,62.94863238,10.42035367,10.00625217,9.159502002,3.594633892,4.496943155,64.59435422,-1.18757992,115.2381996,18.38899503,122.1391707,5.251111891,6.189361389
-1.134514723,-2.065209305,0.746895151,2.554325463,0.089601259,0.365958959,0.183768468,0.423457663,127.9161245,0.018094286,-105.5703912,8.454369211,130.998952,1.835646625,10.44566314,4.227568025,22.82811522,58.6868393,10.23728419,10.01008909,10.09365994,1.879883235,4.673400387,66.11018548,2.874379048,113.8681917,15.24980525,141.4079392,4.71735892,8.124293315
-0.914905255,-1.630052204,1.140181783,4.207154704,0.032172499,0.383842671,0.387022331,0.656473042,801.0995328,0.036809764,-99.95673661,25.12770286,122.851886,1.849803778,10.74938027,2.319177808,20.77512276,64.22702647,11.9556934,7.361522008,11.48216791,2.579782691,4.628682432,66.23812946,-5.696625984,104.2586936,19.16220842,160.4740885,5.536118033,9.778729782
-0.740700971,-1.33008607,1.58756807,6.152555815,0.009698778,0.393325698,0.620319034,0.948034374,1309.680219,0.060195209,-84.4875722,41.36694637,127.3324717,1.908845442,11.18946062,3.567361467,19.27632938,59.73760008,10.3435676,8.423758422,11.15049472,0.390818268,4.80632031,68.39832014,-0.096175682,105.9168873,15.960106,156.8127447,4.696552941,2.840794651
-0.555179984,-0.933911812,1.739379968,7.649209168,-0.022113849,0.421669282,0.795380697,1.294065233,671.2187729,0.100224579,-66.00662375,41.02546908,154.1390173,1.926944674,11.1085185,2.381590852,19.61667916,61.76508612,7.259661462,7.458520529,10.04767233,-0.261740225,4.977264665,68.65973948,8.21543031,118.2395279,14.49808001,150.8297736,4.391505614,4.947596975
-0.587572625,-1.098538902,1.80667468,7.70245364,0.00749877,0.378591822,0.797575757,1.476913396,1394.289752,0.084629789,-61.77490156,41.48683493,172.0656588,2.009275264,11.13689473,1.899438944,13.94764122,63.74288653,7.630618294,6.449776029,10.08019042,1.267556759,5.501059228,76.39314802,14.96336513,124.9568592,14.93100835,147.3178494,4.486829925,2.794876299
-0.59791594,-1.075180708,1.789584623,7.720056272,0.013173205,0.380155547,0.756447605,1.383164832,1350.594698,0.081670631,-62.83544393,37.52257237,180.1319406,2.020426065,11.58015028,1.608071636,13.76412246,56.50168232,6.811024824,5.708446876,9.936401157,-2.413522114,5.452583838,75.65371558,14.67383951,120.8032102,13.79581244,142.6206711,4.154702119,3.40587732
-0.644894176,-1.210825469,1.628930024,7.047066808,0.012283982,0.390409425,0.771982311,1.234032473,1214.407453,0.089693505,-58.46970277,37.28165028,178.4087934,1.961385146,10.20325732,-0.807991641,10.08454817,55.48300925,9.276527559,6.774146731,8.687672707,-1.642001743,5.223463976,71.76245091,8.988076619,116.5652277,14.38706132,139.592218,4.251007189,1.968299019
-0.600297578,-1.002077735,1.773075942,7.366115344,0.018161935,0.387926343,0.818834155,1.226093448,834.6693698,0.102645988,-61.58412325,40.06939062,164.4510523,1.903639024,10.17431912,0.36896315,11.65423392,52.11765959,7.765921796,6.921980603,8.048453613,-0.653354348,5.566316463,76.78998325,18.32508831,124.4782129,15.87611605,148.4115364,4.694089965,2.045775778
-0.579084795,-1.050921876,1.778151418,7.644408696,0.028420026,0.378638549,0.866675015,1.269257471,1188.177603,0.108975921,-68.21570603,38.98119068,182.1119797,1.827562584,9.658143852,-0.150596987,11.03403373,50.69209139,8.030145239,7.246258856,8.449723647,-2.156060375,5.337848993,73.29458749,14.1735896,113.0969064,14.97379862,152.3992902,4.449920548,0.281880988
-0.429418364,-0.722452659,2.208978319,9.335494513,0.00606894,0.396395904,1.099262638,1.618408101,1527.114258,0.143627969,-59.08894058,49.28930248,201.9533078,1.717734409,9.111200704,-1.216817878,10.89932825,52.57711787,7.486231425,5.694378201,9.601035996,-1.460478806,5.067251127,67.95214093,15.77755965,108.7623338,12.88536742,147.8429661,3.727287882,-0.390718944
-0.292808487,-0.363497585,2.534051741,10.61126035,-0.008894849,0.411756839,1.247466976,1.896558473,1566.657859,0.177193807,-23.80132041,55.21142798,226.4303745,1.753161498,9.279973328,-2.690023234,9.184836223,49.71214766,6.469606393,5.834624662,8.213945309,-1.796724251,4.936502624,65.77357491,9.382578837,103.1029639,11.68239969,132.3446607,3.481142215,-1.706488915
-0.182288856,-0.110896667,2.854121467,12.09695395,-0.013259161,0.437172243,1.437372627,2.175689044,1246.653836,0.19867099,4.08122067,59.49784617,238.5859662,1.842181773,9.919731019,0.658045916,9.573887061,52.57699259,6.734625388,7.168539149,9.937042687,-2.013267784,5.095664463,68.94347309,14.04960328,110.1171931,13.17454802,122.5849524,3.559872115,-2.683930189
-0.104885492,-0.102901955,3.056156852,13.19141248,-0.015402923,0.48248679,1.593331846,2.316453686,1118.347561,0.214724366,28.74320618,64.79041355,227.7400593,1.898851196,10.30081756,1.223129476,10.03987917,52.25932134,6.44948312,5.71867467,9.361488805,-1.660711366,5.444791245,74.1514911,20.94581852,118.9351279,13.00900223,137.9799844,3.637130292,0.903183297
-0.20174459,-0.380609744,2.676989068,11.1101597,-0.017479971,0.433972796,1.368005853,2.008816043,907.6129198,0.174953775,18.90973378,65.07740829,218.2523793,1.917990079,10.46171962,1.604134773,11.03157152,52.5455498,8.153506521,6.814945285,9.352678571,-1.359257845,5.616182176,77.91998312,15.08075697,116.3589843,11.35683155,144.3572785,3.542493657,1.383641278
-0.413672611,-0.746699806,2.111695284,8.316433783,-0.017512503,0.445346423,1.09459354,1.654389265,1445.501953,0.130950924,-9.860049858,68.15040479,200.5684844,1.929856088,10.68903283,1.414124615,11.19971997,52.48868723,7.047078237,6.68990294,9.547604682,-2.563165198,5.281519835,72.09023812,13.76522087,113.7388947,12.62777014,154.4815172,3.731702952,0.791494847
-0.440360344,-0.752799136,1.96716268,7.906814704,-0.021151952,0.467857712,1.067966727,1.609543934,957.7585854,0.141119644,-11.38557622,53.07929285,209.2744457,1.897857907,10.1437614,-1.87029244,9.137889581,51.2908399,6.26733687,5.652211937,8.371535379,-2.808190421,5.271630877,71.19263987,13.99492761,112.1426788,12.63884576,142.9129815,3.736988277,0.383483477
-0.238044741,-0.481858048,2.641186156,10.93676855,-0.018922825,0.429639061,1.41461004,2.094346616,1379.552001,0.18284603,-2.880339112,45.41317374,269.8545089,1.844464513,9.896702866,-0.718364258,9.023647979,49.26110688,5.987121455,6.058863674,8.345635263,-1.82255942,5.125942735,68.46110237,16.03270774,110.2260045,12.10312194,131.9322603,3.24627879,-1.82126466
-0.154374701,-0.16356908,3.005205839,12.39124538,-0.008050037,0.429748697,1.550187294,2.222904913,1560.243185,0.199130189,-4.521279448,39.65906061,268.7293815,1.808588666,9.587778058,-2.238049911,8.640711825,47.15227505,5.698881053,5.710299856,8.434737724,-3.203884782,5.244453808,70.74085518,12.08588258,107.6986446,12.44957159,125.5933183,3.744001709,-1.920107975
-0.073170541,0.009062746,3.228169357,13.7235909,-0.014704599,0.425955996,1.65937116,2.404586957,1577.690629,0.219397485,14.28526982,38.5054572,281.6686149,1.782357261,9.661830898,1.458929763,8.525798003,49.98271152,4.353382692,5.342298283,8.683834778,-3.013094428,5.326507047,71.07219815,18.70839349,112.2403719,10.86367808,131.7993062,2.977389009,-2.060945866
-0.083582742,0.048033298,3.213272368,13.57568173,-0.013873154,0.440536835,1.598143739,2.368394092,1578.641562,0.20077337,14.76187075,50.81097003,258.9502371,1.791267053,9.938252889,1.181057258,9.389945997,49.62666139,6.470383809,6.720691093,8.682013654,-2.61982895,5.060110333,67.07932067,16.48871978,109.4562035,10.26504216,133.0911252,2.515921151,-0.554209412
-0.109497704,-0.19739461,2.938915885,12.31492447,-0.018190395,0.440350432,1.472014868,2.430199009,1381.472282,0.198114003,14.80190368,48.56295312,251.581202,1.814946295,9.939893002,2.754117743,11.12939485,49.4898515,5.699466334,5.621710392,7.154419639,-3.11869304,5.189973158,68.71714272,18.19374558,113.979699,12.28955234,130.735075,3.426411808,0.707417479
-0.089139674,-0.073715787,3.088881349,13.31710341,-0.027302914,0.443577072,1.555761875,2.572429607,1264.029575,0.21031195,49.5602144,44.31970643,279.9369375,1.917064488,10.73728304,2.182411823,9.364723838,53.92452293,6.911868339,5.66042666,7.513955455,-2.90079471,5.270758522,70.445471,17.96114473,113.9482415,12.20109545,131.1771409,3.563045724,0.279523001
-0.075786569,0.087986316,3.052759479,13.12225856,-0.029234917,0.468143224,1.554270368,2.508213194,1578.242892,0.210184348,26.9164252,44.93525518,270.6488729,1.945105801,10.25462691,-0.168651547,10.14112585,53.83468677,7.060070503,6.558392831,8.875209948,-2.752216601,5.409321404,73.73643324,13.54064036,111.9031034,12.20596758,128.9739357,3.552153927,-0.452312051
-0.197017785,0.001649481,2.977791043,12.48106979,-0.0168534,0.450894074,1.479003758,2.178308197,1139.423589,0.203575896,12.05713413,49.13280239,249.2616778,1.946619874,10.51397302,-1.2431699,9.893617338,54.43902615,6.77701283,6.031348223,8.220553889,-2.27151675,5.60549256,75.84276513,23.89183173,115.9516888,12.30544919,126.8742881,3.441987353,0.159999369
-0.19687478,-0.054513013,3.0221767,12.74009865,-0.009457723,0.412248803,1.462389149,2.24349212,1722.262131,0.189722111,2.088406969,44.26212768,245.6050324,1.935799602,10.68623079,1.067859269,9.623016112,52.78491229,5.157615322,6.362837522,8.465354474,-3.185911078,5.585730476,75.69777777,21.0292474,115.3147558,11.7528664,136.1358941,3.428497454,0.136805241
